Timestamp,Ch0_Alpha,Ch0_Beta,Ch0_Gamma,Ch1_Alpha,Ch1_Beta,Ch1_Gamma,Ch2_Alpha,Ch2_Beta,Ch2_Gamma,Ch3_Alpha,Ch3_Beta,Ch3_Gamma
1733461982.8388803,9982.0234375,40000.828125,29995.11328125,9536.3125,39963.46875,30027.08203125,9967.9375,40002.46875,29999.02734375,9970.65625,39991.078125,29997.515625
1733461982.8612883,9991.5625,39997.1875,30005.30859375,10606.421875,39899.609375,30016.39453125,10039.6796875,39986.90625,30000.03515625,10039.328125,40000.953125,30003.46875
1733461982.9060276,9990.34375,40001.84375,29994.796875,10769.3125,40084.328125,30021.09375,10047.8125,40003.578125,30006.55078125,10053.390625,39997.859375,30002.1328125
1733461982.9280438,9978.25,39991.421875,29989.88671875,10428.0390625,39854.359375,30036.50390625,10026.6484375,39991.34375,29997.59765625,10025.3828125,39994.703125,29998.18359375
1733461982.9506068,10031.125,,,,,,,,,,,
1733461982.9614308,,40033.375,30003.234375,7892.5234375,40060.0,29885.54296875,9862.0234375,40002.984375,29986.0078125,9857.265625,39998.125,29990.15625
1733461982.9841762,10117.0,39940.078125,30001.6171875,7733.2421875,40402.328125,30011.671875,9848.4765625,40026.859375,30006.12890625,9846.1796875,40029.59375,30004.453125
1733461983.0183141,9881.546875,40060.125,30000.5625,12333.3203125,39397.734375,29998.46484375,10142.03125,39962.78125,29999.3671875,10146.5078125,39962.953125,29999.80078125
1733461983.0503502,9949.09375,39961.40625,30003.3046875,12531.5078125,40077.515625,30066.33984375,10179.109375,39991.328125,30005.26171875,10178.6171875,39994.6875,30004.546875
1733461983.0839117,10023.3671875,39984.859375,30000.97265625,10268.8515625,40493.234375,29986.875,10011.5546875,40040.765625,30002.56640625,10027.328125,40034.984375,29996.94140625
1733461983.11043,9934.8671875,40041.609375,29983.65234375,9651.671875,39268.375,30090.5625,9983.171875,39949.75,30000.515625,,,
1733461983.1219745,,,,,,,,,,9960.9765625,39957.859375,30003.76171875
1733461983.1441479,10091.9921875,39980.203125,30008.9765625,6836.125,40616.6875,29887.74609375,9783.71875,40044.96875,29988.9375,9785.3359375,40032.734375,29996.89453125
1733461983.1686811,10144.0,39979.140625,30001.86328125,8319.8125,39959.65625,29955.0,9886.46875,39993.40625,29998.921875,9889.7734375,40002.578125,29987.89453125
1733461983.2005055,9927.0859375,40039.890625,29991.6328125,12171.9296875,39559.125,29994.73828125,10141.609375,39965.0625,29999.578125,10145.453125,39965.765625,30005.4140625
1733461983.2363515,9873.7421875,39984.046875,30005.4140625,11978.5703125,40261.6875,30046.72265625,10130.359375,40015.859375,30003.97265625,10126.4453125,40015.21875,30001.546875
1733461983.260345,9978.859375,39991.53125,29997.609375,10218.625,40079.28125,30063.9140625,10006.515625,40011.515625,30002.40234375,10014.671875,40002.8125,30003.3515625
1733461983.2928698,10027.6796875,40000.171875,29997.328125,9469.75,39961.84375,29987.61328125,9961.515625,39996.890625,29993.296875,9962.8046875,39998.21875,30000.0703125
1733461983.3264177,10028.8515625,39994.484375,30003.76171875,9509.0078125,39928.734375,29968.01953125,9975.71875,39974.59375,30005.07421875,9962.78125,39992.0625,29998.83984375
1733461983.3585,10005.5078125,39994.921875,29998.59375,9889.890625,39983.140625,29954.8828125,9984.15625,40016.65625,29989.16015625,9994.9609375,39996.875,29995.125
1733461983.3903203,10016.1484375,40007.515625,30007.30078125,9398.5234375,40144.546875,30005.05078125,9972.1796875,39998.296875,30015.52734375,9965.734375,40014.546875,30005.21484375
1733461983.411722,9974.3125,40019.515625,,,,,,,,,,
1733461983.423663,,,29993.56640625,10407.0625,39675.859375,30007.8515625,10004.78125,40004.859375,29986.86328125,10007.921875,39996.359375,29995.640625
1733461983.4458606,10012.9375,39981.25,29985.03515625,9270.625,40554.84375,29972.58984375,9976.984375,40005.390625,29994.15234375,9972.71875,40009.5,29990.3671875
1733461983.4803867,10004.640625,39991.1875,30005.91796875,11412.484375,39286.0625,30151.3359375,10067.921875,39977.15625,30003.64453125,10068.7421875,39971.875,30005.25
1733461983.5144086,9977.265625,39990.296875,30008.109375,9101.2890625,40656.140625,29875.86328125,9959.453125,40002.890625,30008.98828125,9963.0859375,40003.71875,29996.7421875
1733461983.5359623,9994.6796875,40021.53125,29994.41015625,10453.2578125,39644.6875,30022.39453125,10019.6171875,40011.046875,29987.8828125,10018.7265625,40005.1875,30004.0546875
1733461983.579426,10043.078125,39969.265625,30006.890625,10072.703125,39883.21875,29954.0625,10013.96875,39973.890625,30003.64453125,10013.9921875,39977.921875,30002.6953125
1733461983.601445,9965.1015625,,,,,,,,,,,
1733461983.6149573,,40029.078125,29998.921875,9353.7109375,40471.671875,29983.9453125,9943.0234375,40038.265625,30000.2109375,9946.4921875,40041.96875,29991.8671875
